Semana,Mercado Livre: (Brasil),Americanas: (Brasil),Netshoes: (Brasil),Magazine Luiza: (Brasil),Submarino: (Brasil)
1/7/2018,99,35,13,28,6
1/14/2018,100,33,12,21,5
1/21/2018,94,30,12,19,4
1/28/2018,94,29,12,18,5
2/4/2018,91,29,12,19,5
2/11/2018,90,28,12,20,5
2/18/2018,90,31,13,18,5
2/25/2018,90,28,12,18,5
3/4/2018,90,30,12,20,5
3/11/2018,93,32,13,22,5
3/18/2018,86,30,12,18,4
3/25/2018,79,34,12,18,4
4/1/2018,79,27,11,19,4
4/8/2018,79,26,11,19,4
4/15/2018,85,27,12,19,5
4/22/2018,83,25,11,20,4
4/29/2018,80,29,11,20,5
5/6/2018,81,30,12,25,5
5/13/2018,80,29,12,20,4
5/20/2018,78,25,12,17,4
5/27/2018,67,24,10,17,4
6/3/2018,77,27,12,19,4
6/10/2018,72,27,12,18,4
6/17/2018,75,25,12,18,4
6/24/2018,74,25,11,18,4
7/1/2018,78,25,11,20,4
7/8/2018,75,27,12,20,4
7/15/2018,71,27,12,18,4
7/22/2018,78,27,11,19,4
7/29/2018,81,28,11,20,4
8/5/2018,75,26,12,21,4
8/12/2018,71,35,10,19,4
8/19/2018,72,28,10,19,3
8/26/2018,76,26,10,19,3
9/2/2018,70,24,9,18,6
9/9/2018,72,25,10,25,6
9/16/2018,72,27,10,19,4
9/23/2018,69,27,9,19,5
9/30/2018,65,27,10,19,4
10/7/2018,59,27,9,18,3
10/14/2018,68,26,10,20,4
10/21/2018,67,24,10,19,4
10/28/2018,63,24,11,18,3
11/4/2018,68,27,14,25,4
11/11/2018,71,31,14,25,5
11/18/2018,86,80,26,57,13
11/25/2018,76,39,17,27,6
12/2/2018,77,34,15,25,5
12/9/2018,77,35,14,25,5
12/16/2018,73,34,11,26,4
12/23/2018,66,28,8,20,4
12/30/2018,66,28,8,45,5
